idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
80,0.0,1500,11.675999641418457,0.0,0.0,1500,0.0,0.0,0.0,0.3373528718948364,-0.02631830796599388,9.472198486328125,-0.0005328800179995596,0.0015986401122063398,0.0007993200561031699
81,0.0,1500,11.680999755859375,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.07656235247850418,9.395636558532715,-0.0005328800179995596,-0.0002664400089997798,0.0007993200561031699
82,0.0,1500,11.680999755859375,0.0,0.0,1500,0.0,0.0,0.0,0.31821227073669434,-0.033496029675006866,9.359747886657715,-0.0007993200561031699,0.0005328800179995596,-0.0010657600359991193
83,0.0,1500,11.682999610900879,0.0,0.0,1500,0.0,0.0,0.0,0.3086419701576233,-0.057421762496232986,9.407599449157715,-0.0005328800179995596,0.0002664400089997798,0.0007993200561031699
84,0.0,1500,11.682999610900879,0.0,0.0,1500,0.0,0.0,0.0,0.33017513155937195,-0.03588860109448433,9.395636558532715,-0.0005328800179995596,0.0,0.0005328800179995596
85,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.0813474953174591,9.409991264343262,-0.0010657600359991193,0.0002664400089997798,0.0
86,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3062494099140167,-0.007177720312029123,9.393243789672852,0.0002664400089997798,0.0002664400089997798,-0.0010657600359991193
87,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3636711835861206,-0.10766580700874329,9.429132461547852,-0.0007993200561031699,0.0005328800179995596,-0.0007993200561031699
88,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.39238205552101135,-0.06220691278576851,9.441095352172852,-0.0002664400089997798,0.0010657600359991193,0.0005328800179995596
89,0.0,1500,11.685999870300293,0.0,0.0,1500,0.0,0.0,0.0,0.29907169938087463,-0.057421762496232986,9.510479927062988,-0.0002664400089997798,0.0005328800179995596,-0.0007993200561031699
90,3.774486062202515,1500,11.685999870300293,0.0,0.0,1500,0.0,0.0,0.0,0.31581971049308777,-0.07895492762327194,9.381280899047852,-0.0010657600359991193,-0.0002664400089997798,-0.0002664400089997798
91,3.774486062202515,1500,11.678000450134277,0.0,0.0,1500,0.0,0.0,0.0,0.3253899812698364,-0.0693846344947815,9.398028373718262,-0.0007993200561031699,0.0013322000158950686,0.0
92,3.774486062202515,1500,11.678000450134277,3.7726428508758545,3.7726428508758545,1500,0.08699999749660492,0.0,-0.08100000023841858,3.1605896949768066,0.2966791093349457,8.158675193786621,0.0002664400089997798,-0.010391159914433956,0.002397960051894188
93,3.774486062202515,1500,11.800000190734863,3.7727222442626953,3.7727222442626953,1500,0.18700000643730164,0.0,-0.09799999743700027,0.24882765114307404,-1.0048809051513672,9.639678955078125,-0.03703515976667404,0.0732709988951683,-0.02238096110522747
94,3.774486062202515,1500,11.800000190734863,3.7727222442626953,3.7727222442626953,1500,0.23399999737739563,0.0,-0.16200000047683716,1.382907509803772,0.9737774133682251,10.448368072509766,0.02051588147878647,-0.007993199862539768,-0.009591840207576752
95,3.774486062202515,1500,11.723999977111816,3.77284836769104,3.77284836769104,1500,0.26899999380111694,0.0,-0.15299999713897705,0.976170003414154,-0.2512202262878418,8.184993743896484,0.013854880817234516,-0.005062360316514969,-0.03410432115197182
96,3.774486062202515,1500,11.723999977111816,3.77284836769104,3.77284836769104,1500,0.2800000011920929,0.0,-0.289000004529953,-0.12202125042676926,-0.8015121221542358,9.333429336547852,-0.01065760012716055,0.06874152272939682,-0.048492081463336945
97,3.774486062202515,1500,11.708000183105469,3.7725777626037598,3.7725777626037598,1500,0.3059999942779541,0.0,-0.14000000059604645,0.6579577326774597,-0.806297242641449,9.173127174377441,-0.0007993200561031699,0.0,-0.05648528039455414
98,3.774486062202515,1500,11.708000183105469,3.7725777626037598,3.7725777626037598,1500,0.3160000145435333,0.0,0.029999999329447746,0.6866685748100281,0.19140587747097015,9.400421142578125,-0.01891724020242691,-0.02744332142174244,-0.02158164046704769
99,3.774486062202515,1500,11.713000297546387,3.772562026977539,3.772562026977539,1500,0.29600000381469727,0.0,-0.3070000112056732,-0.2560053765773773,-0.02631830796599388,9.677959442138672,0.017851481214165688,-0.005062360316514969,-0.015986399725079536
100,3.774486062202515,1500,11.713000297546387,3.772562026977539,3.772562026977539,1500,0.3050000071525574,0.0,-0.11800000071525574,-0.239257350564003,0.07895492762327194,8.177816390991211,-0.1393481194972992,0.10497736185789108,-0.019183680415153503
101,3.774486062202515,1500,11.715999603271484,3.7735280990600586,3.7735280990600586,1500,0.3199999928474426,0.0,0.05900000035762787,-0.007177720312029123,0.04785146936774254,8.656331062316895,0.17984700202941895,0.1585317999124527,0.005861680023372173
102,3.774486062202515,1500,11.715999603271484,3.7735280990600586,3.7735280990600586,1500,0.3070000112056732,0.0,-0.2809999883174896,0.7058091759681702,-0.20336875319480896,9.713848114013672,-0.04183107987046242,-0.08179708570241928,-0.02051588147878647
103,3.774486062202515,1500,11.718000411987305,3.772545099258423,3.772545099258423,1500,0.33500000834465027,0.0,0.03500000014901161,-0.35649344325065613,0.32299742102622986,7.9194183349609375,-0.04822564125061035,0.023713160306215286,-0.009591840207576752
104,3.774486062202515,1500,11.718000411987305,3.772545099258423,3.772545099258423,1500,0.3149999976158142,0.0,-0.30300000309944153,-0.6531725525856018,0.15312470495700836,8.625227928161621,-0.05675172060728073,-0.016785720363259315,0.00905896071344614
105,3.774486062202515,1500,11.687000274658203,3.772303819656372,3.772303819656372,1500,0.34200000762939453,0.0,0.05000000074505806,-0.1196286752820015,0.4067375063896179,8.771174430847168,0.019183680415153503,-0.08419504016637802,0.002397960051894188
